model_id,target,feature,importance
Random Forest Ensemble,attack_success,num__Anomaly Scores,0.03585223667562366
Random Forest Ensemble,attack_success,num__Geo-location Data,0.03565563216941154
Random Forest Ensemble,attack_success,num__Source IP Address,0.035125713631458125
Random Forest Ensemble,attack_success,num__Destination IP Address,0.0345699429207451
Random Forest Ensemble,attack_success,num__Destination Port,0.033514667577398405
Random Forest Ensemble,attack_success,num__Source Port,0.03346295722132315
Random Forest Ensemble,attack_success,num__Packet Length,0.0332719104267586
Random Forest Ensemble,attack_success,num__Source IP Address_class,0.03282697543347138
Random Forest Ensemble,attack_success,num__Destination IP Address_class,0.032485498298565806
Random Forest Ensemble,attack_success,num__Timestamp_div_Destination Port,0.0321898697523327
Random Forest Ensemble,attack_success,num__Timestamp_div_Source Port,0.03213178541344132
Random Forest Ensemble,attack_success,num__Timestamp_x_Packet Length,0.03209409861434672
Random Forest Ensemble,attack_success,num__Timestamp_div_Packet Length,0.03203307918441738
Random Forest Ensemble,attack_success,num__Timestamp_x_Destination Port,0.031886913596952726
Random Forest Ensemble,attack_success,num__Source Port_div_Timestamp,0.0318365976573742
Random Forest Ensemble,attack_success,num__Timestamp_x_Source Port,0.03176404878858414
Random Forest Ensemble,attack_success,num__Destination Port_div_Timestamp,0.03149798088143804
Random Forest Ensemble,attack_success,num__Packet Length_div_Timestamp,0.03123816994397733
Random Forest Ensemble,attack_success,num__Packet Type_div_Timestamp,0.030733112857923302
Random Forest Ensemble,attack_success,num__Second,0.030444084286297985
Random Forest Ensemble,attack_success,num__Minute,0.03020535540000239
Random Forest Ensemble,attack_success,num__Timestamp_div_Packet Type,0.029550018407252802
Random Forest Ensemble,attack_success,num__Timestamp_x_Packet Type,0.029450673312172996
Random Forest Ensemble,attack_success,num__Timestamp,0.028498949286580658
Random Forest Ensemble,attack_success,num__Day,0.027037056774616864
Random Forest Ensemble,attack_success,num__Hour,0.025799172285489405
Random Forest Ensemble,attack_success,num__Proxy Information,0.02209302077436157
Random Forest Ensemble,attack_success,num__Month,0.0168849522407097
Random Forest Ensemble,attack_success,num__DayOfWeek,0.016855606793762332
Random Forest Ensemble,attack_success,num__Firewall Logs,0.005526203057173297
Random Forest Ensemble,attack_success,num__Malware Indicators,0.005379308141622152
Random Forest Ensemble,attack_success,num__IDS/IPS Alerts,0.005356506904528414
Random Forest Ensemble,attack_success,num__Log Source,0.005213660753400271
Random Forest Ensemble,attack_success,num__Alerts/Warnings,0.0051824126156827
Random Forest Ensemble,attack_success,num__Attack Signature,0.00512561846924351
Random Forest Ensemble,attack_success,num__Device/OS_Windows,0.0050273659455027896
